🚀 Agent协作网络性能监控服务启动 - Port 18141
======== Running on http://0.0.0.0:18141 ========
(Press CTRL+C to quit)
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
[PERF-MONITOR] Alerts: ['/api/mesh 错误率: 100.0%']
